vul,lmbda
0.558,0.175
0.559,0.175
0.56,0.175
0.561,0.175
0.562,0.175
0.563,0.175
0.564,0.175
0.565,0.175
0.566,0.175
0.567,0.175
0.568,0.175
0.569,0.175
0.57,0.175
0.571,0.175
0.572,0.175
0.573,0.125
0.574,0.125
0.575,0.125
0.576,0.125
0.577,0.125
0.578,0.125
0.579,0.125
0.58,0.125
0.581,0.125
0.582,0.125
0.583,0.125
0.584,0.125
0.585,0.125
0.586,0.125
0.587,0.125
0.588,0.125
0.589,0.125
0.59,0.125
0.591,0.125
0.592,0.125
0.593,0.125
0.594,0.125
0.595,0.125
0.596,0.125
0.597,0.125
0.598,0.125
0.599,0.125
0.6,0.125
0.601,0.125
0.602,0.125
0.603,0.125
0.604,0.125
0.605,0.125
0.606,0.125
0.607,0.125
0.608,0.125
0.609,0.125
0.61,0.125
0.611,0.125
0.612,0.125
0.613,0.125
0.614,0.125
0.615,0.125
0.616,0.125
0.617,0.125
0.618,0.125
0.619,0.125
0.62,0.125
0.621,0.125
0.622,0.125
0.623,0.125
0.624,0.125
0.625,0.125
0.626,0.125
0.627,0.125
0.628,0.125
0.629,0.125
0.63,0.125
0.631,0.125
0.632,0.125
0.633,0.125
0.634,0.125
0.635,0.125
0.636,0.125
0.637,0.125
0.638,0.125
0.639,0.125
0.64,0.125
0.641,0.125
0.642,0.125
0.643,0.125
0.644,0.125
0.645,0.125
0.646,0.125
0.647,0.125
0.648,0.125
0.649,0.125
0.65,0.125
0.651,0.125
0.652,0.125
0.653,0.125
0.654,0.125
0.655,0.125
0.656,0.125
0.657,0.125
0.658,0.125
0.659,0.125
0.66,0.125
0.661,0.125
0.662,0.125
0.663,0.125
0.664,0.125
0.665,0.125
0.666,0.125
0.667,0.125
0.668,0.125
0.669,0.125
0.67,0.125
0.671,0.075
0.672,0.075
0.673,0.075
0.674,0.075
0.675,0.075
0.676,0.075
0.677,0.075
0.678,0.075
0.679,0.075
0.68,0.075
0.681,0.075
0.682,0.075
0.683,0.075
0.684,0.075
0.685,0.075
0.686,0.075
0.687,0.075
0.688,0.075
0.689,0.075
0.69,0.075
0.691,0.075
0.692,0.075
0.693,0.075
0.694,0.075
0.695,0.075
0.696,0.075
0.697,0.075
0.698,0.075
0.699,0.075
0.7,0.075
0.701,0.075
0.702,0.075
0.703,0.075
0.704,0.075
0.705,0.075
0.706,0.075
0.707,0.075
0.708,0.075
0.709,0.075
0.71,0.075
0.711,0.075
0.712,0.075
0.713,0.075
0.714,0.075
0.715,0.075
0.716,0.075
0.717,0.075
0.718,0.075
0.719,0.075
0.72,0.075
0.721,0.075
0.722,0.075
0.723,0.075
0.724,0.075
0.725,0.075
0.726,0.075
0.727,0.075
0.728,0.075
0.729,0.075
0.73,0.075
0.731,0.075
0.732,0.075
0.733,0.075
0.734,0.075
0.735,0.075
0.736,0.075
0.737,0.075
0.738,0.075
0.739,0.075
0.74,0.075
0.741,0.075
0.742,0.075
0.743,0.075
0.744,0.075
0.745,0.075
0.746,0.075
0.747,0.075
0.748,0.075
0.749,0.075
0.75,0.075
0.751,0.075
0.752,0.075
0.753,0.075
0.754,0.075
0.755,0.075
0.756,0.075
0.757,0.075
0.758,0.075
0.759,0.075
0.76,0.075
0.761,0.075
0.762,0.075
0.763,0.075
0.764,0.075
0.765,0.075
0.766,0.075
0.767,0.075
0.768,0.075
0.769,0.075
0.77,0.075
0.771,0.075
0.772,0.075
0.773,0.075
0.774,0.075
0.775,0.075
0.776,0.075
0.777,0.075
0.778,0.075
0.779,0.075
0.78,0.075
0.781,0.075
0.782,0.075
0.783,0.075
0.784,0.075
0.785,0.075
0.786,0.075
0.787,0.075
0.788,0.075
0.789,0.075
0.79,0.075
0.791,0.075
0.792,0.075
0.793,0.075
0.794,0.075
0.795,0.075
0.796,0.075
0.797,0.075
0.798,0.075
0.799,0.075
0.8,0.075
0.801,0.075
0.802,0.075
0.803,0.049
0.804,0.049
0.805,0.049
0.806,0.049
0.807,0.049
0.808,0.049
0.809,0.049
0.81,0.047
0.811,0.047
0.812,0.047
0.813,0.047
0.814,0.047
0.815,0.047
0.816,0.045
0.817,0.045
0.818,0.045
0.819,0.045
0.82,0.045
0.821,0.045
0.822,0.045
0.823,0.043
0.824,0.043
0.825,0.043
0.826,0.043
0.827,0.043
0.828,0.043
0.829,0.041
0.83,0.041
0.831,0.041
0.832,0.041
0.833,0.041
0.834,0.041
0.835,0.041
0.836,0.039
0.837,0.039
0.838,0.039
0.839,0.039
0.84,0.039
0.841,0.039
0.842,0.039
0.843,0.037
0.844,0.037
0.845,0.037
0.846,0.037
0.847,0.037
0.848,0.037
0.849,0.037
0.85,0.035
0.851,0.035
0.852,0.035
0.853,0.035
0.854,0.035
0.855,0.035
0.856,0.035
0.857,0.033
0.858,0.033
0.859,0.033
0.86,0.033
0.861,0.033
0.862,0.033
0.863,0.033
0.864,0.031
0.865,0.031
0.866,0.031
0.867,0.031
0.868,0.031
0.869,0.031
0.87,0.031
0.871,0.029
0.872,0.029
0.873,0.029
0.874,0.029
0.875,0.029
0.876,0.029
0.877,0.029
0.878,0.029
0.879,0.027
0.88,0.027
0.881,0.027
0.882,0.027
0.883,0.027
0.884,0.027
0.885,0.027
0.886,0.025
0.887,0.025
0.888,0.025
0.889,0.025
0.89,0.025
0.891,0.025
0.892,0.025
0.893,0.025
0.894,0.023
0.895,0.023
0.896,0.023
0.897,0.023
0.898,0.023
0.899,0.023
0.9,0.023
0.901,0.023
0.902,0.021
0.903,0.021
0.904,0.021
0.905,0.021
0.906,0.021
0.907,0.021
0.908,0.021
0.909,0.021
0.91,0.019
0.911,0.019
0.912,0.019
0.913,0.019
0.914,0.019
0.915,0.019
0.916,0.019
0.917,0.019
0.918,0.017
0.919,0.017
0.92,0.017
0.921,0.017
0.922,0.017
0.923,0.017
0.924,0.017
